date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2026-03-03 16:30:00,US30,SELL,48307.21,161.8,485.5,323.7,WIN,55.97,9608.16,bear_trend|below_vwap|orb_bear
2026-03-03 17:30:00,US30,SELL,48447.2,166.8,500.4,333.6,LOSS,-19.22,9512.08,bear_trend|below_vwap
2026-03-03 18:30:00,US30,SELL,48531.18,168.1,504.2,336.1,WIN,57.07,9797.44,bear_trend|below_vwap
2026-03-03 19:30:00,US30,SELL,48584.38,169.3,507.8,338.5,LOSS,-19.59,9699.47,bear_trend|below_vwap
2026-03-05 15:30:00,US30,SELL,47905.17,116.4,349.2,232.8,LOSS,-19.4,9602.47,bear_trend|below_vwap|orb_bear
2026-03-05 16:30:00,US30,SELL,47822.01,113.4,340.1,226.7,LOSS,-19.2,9506.45,bear_trend|below_vwap|orb_bear
2026-03-05 17:30:00,US30,SELL,47707.18,109.2,327.5,218.3,LOSS,-19.01,9411.38,bear_trend|below_vwap|orb_bear
2026-03-05 18:30:00,US30,SELL,47648.67,109.3,328.0,218.7,LOSS,-18.82,9317.27,bear_trend|below_vwap|orb_bear
2026-03-05 19:30:00,US30,SELL,47843.85,112.6,337.7,225.2,LOSS,-18.63,9224.1,bear_trend|below_vwap|orb_bear
2026-03-06 15:30:00,US30,SELL,47382.93,130.8,392.3,261.6,LOSS,-18.45,9131.86,bear_trend|below_vwap|orb_bear
2026-03-06 16:30:00,US30,SELL,47357.45,134.2,402.5,268.3,LOSS,-18.26,9040.54,bear_trend|below_vwap|orb_bear
2026-03-06 17:30:00,US30,SELL,47438.47,141.3,423.8,282.5,WIN,54.24,9311.75,bear_trend|below_vwap|orb_bear
2026-03-06 18:30:00,US30,SELL,47483.78,144.5,433.4,288.9,LOSS,-18.62,9218.64,bear_trend|below_vwap|orb_bear
2026-03-06 19:30:00,US30,SELL,47436.14,147.0,441.1,294.1,LOSS,-18.44,9126.45,bear_trend|below_vwap|orb_bear
2026-03-09 15:30:00,US30,SELL,47167.26,159.8,479.4,319.6,WIN,54.76,9400.24,bear_trend|below_vwap|orb_bear
2026-03-09 16:30:00,US30,SELL,47028.27,161.9,485.7,323.8,LOSS,-18.8,9306.24,bear_trend|below_vwap|orb_bear
2026-03-09 17:30:00,US30,SELL,47131.76,163.6,490.9,327.3,LOSS,-18.61,9213.18,bear_trend|below_vwap|orb_bear
2026-03-10 19:30:00,US30,SELL,47707.89,170.6,511.8,341.2,LOSS,-18.43,9121.05,bear_trend|above_vwap|orb_bear
2026-03-11 15:30:00,US30,SELL,47258.72,148.1,444.2,296.1,WIN,54.73,9394.68,bear_trend|below_vwap|orb_bear
2026-03-11 16:30:00,US30,SELL,47442.76,146.6,439.7,293.1,WIN,56.37,9676.52,bear_trend|below_vwap|orb_bear
2026-03-11 17:30:00,US30,SELL,47387.74,146.9,440.7,293.8,WIN,58.06,9966.81,bear_trend|below_vwap|orb_bear
2026-03-11 18:30:00,US30,SELL,47334.76,129.7,389.1,259.4,WIN,59.8,10265.82,bear_trend|below_vwap|orb_bear
2026-03-11 19:30:00,US30,SELL,47414.25,124.1,372.3,248.2,LOSS,-20.53,10163.16,bear_trend|below_vwap
2026-03-12 15:30:00,US30,SELL,46872.01,142.4,427.1,284.8,LOSS,-20.33,10061.53,bear_trend|below_vwap|orb_bear
2026-03-12 16:30:00,US30,SELL,46830.84,139.3,417.9,278.6,WIN,60.37,10363.38,bear_trend|below_vwap|orb_bear
2026-03-12 17:30:00,US30,SELL,46789.41,128.6,385.8,257.2,LOSS,-20.73,10259.74,bear_trend|below_vwap|orb_bear
2026-03-12 18:30:00,US30,SELL,46808.33,125.1,375.2,250.1,WIN,61.56,10567.53,bear_trend|below_vwap|orb_bear
2026-03-12 19:30:00,US30,SELL,46671.72,126.3,379.0,252.7,WIN,63.41,10884.56,bear_trend|below_vwap|orb_bear|bos_bear
2026-03-13 15:30:00,US30,SELL,46696.29,127.2,381.7,254.4,LOSS,-21.77,10775.71,bear_trend|below_vwap|orb_bear
2026-03-13 16:30:00,US30,SELL,46689.9,124.8,374.5,249.7,LOSS,-21.55,10667.96,bear_trend|below_vwap|orb_bear
2026-03-13 17:30:00,US30,SELL,46626.91,121.5,364.6,243.1,LOSS,-21.34,10561.28,bear_trend|below_vwap|orb_bear
2026-03-13 18:30:00,US30,SELL,46582.99,123.2,369.7,246.5,LOSS,-21.12,10455.66,bear_trend|below_vwap|orb_bear
2026-03-13 19:30:00,US30,SELL,46560.84,123.3,369.8,246.5,LOSS,-20.91,10351.11,bear_trend|below_vwap|orb_bear|bos_bear
2026-03-16 15:30:00,US30,SELL,46843.58,116.5,349.5,233.0,LOSS,-20.7,10247.6,bear_trend|below_vwap
2026-03-18 15:30:00,US30,SELL,46605.57,86.7,260.2,173.5,LOSS,-20.5,10145.12,bear_trend|below_vwap|orb_bear
2026-03-18 16:30:00,US30,SELL,46535.79,84.9,254.8,169.8,LOSS,-20.29,10043.67,bear_trend|below_vwap|orb_bear
2026-03-18 17:30:00,US30,SELL,46542.98,83.4,250.2,166.8,LOSS,-20.09,9943.23,bear_trend|below_vwap|orb_bear
2026-03-18 18:30:00,US30,SELL,46270.72,88.3,265.0,176.7,LOSS,-19.89,9843.8,bear_trend|below_vwap|orb_bear|bos_bear
2026-03-18 19:30:00,US30,SELL,46223.43,89.0,267.0,178.0,LOSS,-19.69,9745.36,bear_trend|below_vwap|orb_bear|bos_bear
2026-03-19 15:30:00,US30,SELL,45896.53,93.8,281.4,187.6,WIN,58.47,10037.72,bear_trend|below_vwap|orb_bear
2026-03-19 16:30:00,US30,SELL,45862.13,98.5,295.5,197.0,LOSS,-20.08,9937.35,bear_trend|below_vwap|orb_bear
2026-03-19 17:30:00,US30,SELL,45834.65,99.8,299.4,199.6,LOSS,-19.87,9837.97,bear_trend|below_vwap|orb_bear
2026-03-19 18:30:00,US30,SELL,46064.57,114.0,341.9,227.9,LOSS,-19.68,9739.59,bear_trend|below_vwap|orb_bear
2026-03-19 19:30:00,US30,SELL,46021.61,115.5,346.6,231.1,LOSS,-19.48,9642.2,bear_trend|below_vwap
2026-03-20 15:30:00,US30,SELL,45825.56,116.1,348.2,232.1,LOSS,-19.28,9545.78,bear_trend|below_vwap|orb_bear
2026-03-20 16:30:00,US30,SELL,45824.09,117.7,353.0,235.4,LOSS,-19.09,9450.32,bear_trend|below_vwap|orb_bear
2026-03-20 17:30:00,US30,SELL,45609.15,122.6,367.7,245.1,WIN,56.7,9733.83,bear_trend|below_vwap|orb_bear|bos_bear
2026-03-20 18:30:00,US30,SELL,45515.0,117.2,351.6,234.4,LOSS,-19.47,9636.49,bear_trend|below_vwap|orb_bear|bos_bear
2026-03-20 19:30:00,US30,SELL,45605.58,123.2,369.7,246.5,LOSS,-19.27,9540.12,bear_trend|below_vwap|orb_bear
