date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2025-07-16 18:30:00,NAS100,BUY,22899.22,41.1,123.4,82.3,WIN,2.96,508.04,bull_trend|above_vwap
2025-07-16 19:30:00,NAS100,BUY,22915.22,41.5,124.6,83.0,LOSS,-1.02,502.96,bull_trend|above_vwap|orb_bull
2025-07-17 15:30:00,NAS100,BUY,23087.42,38.8,116.3,77.5,WIN,3.02,518.05,bull_trend|above_vwap|orb_bull|bos_bull
2025-07-17 16:30:00,NAS100,BUY,23085.43,37.3,112.0,74.6,WIN,3.11,533.59,bull_trend|above_vwap
2025-07-17 17:30:00,NAS100,BUY,23084.67,36.3,109.0,72.7,LOSS,-1.07,528.26,bull_trend|above_vwap|orb_bull
2025-07-17 18:30:00,NAS100,BUY,23089.62,34.1,102.3,68.2,LOSS,-1.06,522.97,bull_trend|above_vwap
2025-07-17 19:30:00,NAS100,BUY,23088.42,33.7,101.0,67.3,LOSS,-1.05,517.74,bull_trend|above_vwap
2025-07-18 15:30:00,NAS100,BUY,23033.58,26.3,78.9,52.6,WIN,3.11,533.28,bull_trend|above_vwap
2025-07-18 16:30:00,NAS100,BUY,23049.1,25.0,75.0,48.5,WIN,3.2,549.27,bull_trend|above_vwap
2025-07-18 17:30:00,NAS100,BUY,23058.81,25.0,75.0,48.9,LOSS,-1.1,543.78,bull_trend|above_vwap
2025-07-18 18:30:00,NAS100,BUY,23052.17,25.0,75.0,48.6,WIN,3.26,560.09,bull_trend|above_vwap
2025-07-18 19:30:00,NAS100,BUY,23064.98,25.0,75.0,48.0,WIN,3.36,576.9,bull_trend|above_vwap
2025-07-21 15:30:00,NAS100,BUY,23210.77,25.4,76.2,50.8,LOSS,-1.15,571.13,bull_trend|above_vwap
2025-07-21 16:30:00,NAS100,BUY,23256.21,26.6,79.9,53.3,WIN,3.43,588.26,bull_trend|above_vwap|orb_bull
2025-07-21 17:30:00,NAS100,BUY,23254.57,26.2,78.6,52.4,LOSS,-1.18,582.38,bull_trend|above_vwap
2025-07-21 18:30:00,NAS100,BUY,23207.83,27.3,81.8,54.5,LOSS,-1.16,576.56,bull_trend|above_vwap
